 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,147.965,18066.450,12155,28539,2673201.853,25491761.000
2,125.314,0.000,0,0,0.000,0.000
3,100.880,17867.463,12155,25897,1802477.568,17188499.000
4,107.172,0.000,0,0,0.000,0.000
5,109.899,22982.447,17441,33296,2525744.739,24085604.000
6,159.815,0.000,0,0,0.000,0.000
7,149.957,21456.241,16912,26425,3217522.426,30682424.000
8,161.807,15265.109,9513,31710,2470004.518,23554063.000
9,168.728,13246.452,10041,22197,2235051.551,21313542.000
10,96.162,18855.045,13741,24840,1813129.473,17290076.000
11,92.072,0.000,0,0,0.000,0.000
12,188.024,0.000,0,0,0.000,0.000
13,124.475,17689.970,11627,24840,2201961.507,20997994.000
14,115.771,23232.226,16384,32239,2689625.546,25648378.000
15,91.443,24132.461,15326,29596,2206734.138,21043506.000
16,44.043,0.000,0,0,0.000,0.000
17,69.316,0.000,0,0,0.000,0.000
18,105.390,16968.816,11627,37524,1788337.632,17053660.000
19,105.495,25584.198,16384,38581,2698992.641,25737703.000
20,146.602,17660.329,13741,22197,2589034.739,24689140.000
21,34.501,42420.584,30125,62364,1463539.513,13956372.000
22,84.102,17635.036,13741,23783,1483141.674,14143299.000
23,108.221,17895.422,13212,23783,1936660.829,18468076.000
24,111.472,0.000,0,0,0.000,0.000
25,102.244,17915.501,13212,24840,1831746.949,17467613.000
26,86.094,18071.590,14798,20612,1555863.262,14836775.000
27,69.106,0.000,0,0,0.000,0.000
28,105.495,0.000,0,0,0.000,0.000
29,133.284,21697.868,15855,29596,2891974.939,27577990.000
30,87.877,0.000,0,0,0.000,0.000
31,70.365,0.000,0,0,0.000,0.000
32,78.334,0.000,0,0,0.000,0.000
33,108.536,17862.511,14798,21140,1938718.601,18487699.000
34,88.192,0.000,0,0,0.000,0.000
35,83.368,19413.830,15855,22197,1618490.932,15433995.000
36,202.705,0.000,0,0,0.000,0.000
37,82.214,19203.515,14798,26954,1578805.803,15055556.000
38,90.184,21502.817,17969,27482,1939213.985,18492423.000
39,237.205,12416.574,0,20612,2945277.985,28086290.000
40,132.969,22161.405,15855,28011,2946785.004,28100661.000
41,128.041,17529.387,12684,23783,2244472.652,21403382.000
