Reference Number;Bedrooms;Bathrooms;Area
893996;3;2;110
480286;7;5;160
1091471;6;1;100
1091473;6;1;100
573720;20;15;1000
609722;3;1;60
466285;5;2;125
1202436;2;1;60
621259;2;1;No info
1216839;3;2;100
597642;2;1;60
1216837;3;2;100
372175;5;2;80
1067314;No info;No info;No info
1090764;9;2;No info
971709;5;1;140
440497;4;2;110
994790;7;No info;No info
138621;3;2;80
768727;6;1;No info
206778;7;1;125
1081073;4;1;65
1190063;5;1;No info
1208348;6;2;140
283341;4;1;100
1190065;5;1;No info
780909;1;No info;No info
1196249;1;No info;No info
1219798;6;2;140
334049;5;1;85
982422;4;2;90
1208988;2;No info;No info
1203084;1;No info;No info
880351;3;1;70
956417;5;1;90
229444;6;2;107
1090767;9;2;No info
272421;2;1;No info
985691;3;1;75
219435;5;2;92
201538;1;16;No info
768574;4;1;63
251737;2;1;50
942592;5;No info;No info
955346;7;1;No info
262956;2;1;55
326474;7;1;133
1090765;9;2;No info
206774;7;1;125
1217893;3;1;80
1199274;8;No info;No info
1081663;2;1;60
962796;5;No info;No info
922260;2;No info;No info
218408;5;1;90
768572;4;1;63
1218463;3;1;80
373987;14;3;320
1191054;4;2;110
366029;6;1;No info
392365;5;3;No info
973202;8;3;No info
1218464;3;1;80
777449;4;1;80
1002483;7;2;No info
132751;2;1;57
1086158;1;40;No info
1083399;3;No info;No info
219457;5;2;No info
221781;5;2;130
1205899;3;1;75
1195293;2;1;70
762491;5;2;No info
777447;4;1;80
374284;10;6;120
253769;5;2;140
917848;6;2;No info
440494;1;1;65
120170;1;20;No info
138804;1;30;No info
1089072;3;1;60
161865;5;2;90
127991;6;4;160
1010372;5;2;114
1215438;3;1;60
1217901;7;2;No info
605357;2;1;80
1198799;1;1;No info
608691;3;1;150
695509;3;1;80
1014779;3;1;75
1185408;1;30;No info
1210089;4;2;1
514185;3;2;190
94104;8;3;140
1213609;2;2;110
264267;4;2;130
580279;3;1;No info
1090761;9;2;No info
1170512;2;1;90
579898;4;1;No info
1169307;2;1;55
384036;1;1;58
1202578;4;3;120
1199391;4;3;150
1073866;1;1;130
931859;4;1;No info
1091377;4;1;90
480292;7;5;160
1199284;3;2;85
913279;1;1;50
956826;4;1;87
917841;4;1;No info
1074447;6;2;150
930592;4;2;90
953317;6;2;No info
1087760;2;1;55
510900;2;1;59
952274;5;1;No info
639145;6;2;No info
777448;4;1;80
827148;5;3;No info
372789;10;6;120
1015667;1;2;No info
226090;7;2;170
272058;1;20;No info
602410;8;3;170
961242;3;1;70
642551;1;40;No info
1001197;1;1;33
396065;5;1;85
200965;1;20;No info
390781;5;2;140
295382;5;2;No info
433931;3;2;90
955347;7;1;No info
135431;1;54;No info
939948;3;1;No info
154962;6;2;No info
818589;4;2;100
1190061;5;1;No info
1199283;3;2;85
302695;7;4;195
334048;5;1;85
150727;2;2;80
973266;6;2;No info
1085723;4;1;90
120983;7;2;132
206775;7;1;125
1083376;2;1;65
1192655;1;No info;No info
917852;6;2;No info
432250;2;1;70
811867;1;1;42
372790;10;6;120
354228;1;1;40
1088065;1;40;No info
945104;3;No info;No info
349806;3;1;90
1172537;6;4;127
85661;1;1;65
1202226;4;1;20
118254;18;5;460
289131;3;1;115
939949;3;1;No info
282609;2;1;65
226795;6;128;No info
84705;4;1;75
973311;2;1;65
599304;2;2;70
380306;19;6;320
1008449;2;1;No info
1199285;3;2;85
146566;1;1;48
827145;5;3;No info
1209088;2;2;No info
950619;5;4;No info
925221;4;2;No info
954491;3;1;No info
580289;2;1;No info
1196098;1;No info;No info
1206375;3;2;No info
982712;5;5;120
1209143;No info;No info;No info
565524;6;3;150
1069918;2;1;55
1004068;7;2;No info
1189764;3;1;No info
219439;5;2;92
968135;1;1;No info
1175457;3;2;110
1089737;6;2;120
1090766;9;2;No info
305648;7;1;161
966492;3;No info;No info
1090763;9;2;No info
754857;2;1;60
1091457;8;3;170
1189871;5;2;90
1089802;5;2;No info
1082032;3;3;75
768729;6;1;No info
222017;5;2;80
994860;11;No info;No info
349721;3;1;75
127989;6;4;160
1022809;2;1;64
865280;5;3;100
219437;5;2;92
1219801;6;2;140
1202229;4;1;20
295439;1;1;92
1022863;2;1;90
413705;3;1;75
963601;7;2;140
302892;2;1;65
931850;8;2;140
1075184;1;No info;No info
979311;1;No info;No info
1200419;5;1;No info
918326;1;65;No info
1018037;1;1;No info
1218948;3;1;83
1199277;8;No info;No info
991767;3;1;90
1161001;1;1;65
382718;5;2;1
565525;6;3;150
852416;5;2;100
1210205;2;No info;No info
378704;1;25;No info
1175456;3;2;110
601294;6;2;75
139041;1;1;55
400767;11;2;180
219454;5;2;No info
123185;3;2;95
201544;1;16;No info
797494;3;No info;No info
609721;3;1;60
928825;7;3;200
601296;6;2;75
955285;1;32;No info
1185483;6;2;95
1076257;5;1;No info
599075;1;1;50
405200;2;1;No info
401910;1;1;No info
1169306;2;1;55
413704;3;1;75
576506;3;1;No info
326478;7;1;133
291434;1;25;No info
951578;1;1;70
431005;2;1;90
928820;7;3;200
754167;4;1;98
954532;2;1;52
222019;5;2;80
619276;1;1;70
935195;4;2;117
357028;1;40;No info
95311;1;1;50
1199276;8;No info;No info
602414;8;3;170
602415;8;3;170
1206376;3;2;No info
935481;3;1;55
1088833;6;2;100
935581;6;2;102
323628;6;2;100
601281;6;2;75
474559;2;1;100
1088970;3;1;85
782944;2;1;50
1088848;7;2;150
962198;8;No info;No info
1189990;2;1;110
951595;3;No info;No info
949913;4;1;85
942090;3;1;No info
991524;3;1;No info
215710;7;1;140
1014564;4;2;96
415529;3;2;No info
1219797;6;2;140
1186292;3;3;150
935473;5;1;96
782382;12;1;588
422049;4;1;No info
782385;12;1;588
782384;12;1;588
1181514;3;2;15
204453;4;1;72
84221;4;2;110
950620;5;4;No info
726622;4;2;124
726620;4;2;124
977405;5;2;No info
726621;4;2;124
1167527;1;No info;No info
1068551;6;2;200
580280;3;1;No info
958704;2;No info;No info
842931;4;1;No info
95897;3;2;70
229418;7;2;No info
780604;3;2;95
964552;6;1;97
212905;3;100;No info
