Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link,Specific Location,Bedrooms,Flatmates,Bathrooms,Area,Average Price
893996,barcelona,Apartment,From 29 April,3040,bills included,3-bedroom apartment for rent in Sant Gervasi Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/893996,Sant Gervasi,3,No info,2,110,3040
480286,barcelona,Room,From 3 July,699,instant booking,Rooms for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/480286,Barcelona,No info,7,5,160,699
1091471,barcelona,Room,From 2 March,630,instant booking,Rooms for rent in shared 6-bedroom apartment in Ciutat Vella,https://www.spotahome.com/barcelona/for-rent:rooms/1091471,Ciutat Vella,No info,6,1,100,630
1091473,barcelona,Room,From 2 March,590,instant booking,Rooms for rent in shared 6-bedroom apartment in Ciutat Vella,https://www.spotahome.com/barcelona/for-rent:rooms/1091473,Ciutat Vella,No info,6,1,100,590
573720,barcelona,Room,From 1 July,580,bills included,Rooms for rent in 25-bedroom house in Bellaterra Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/573720,Bellaterra,No info,20,15,1000,580
609722,barcelona,Room,From 7 March,450,some bills included,Rooms for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/609722,Barcelona,No info,3,1,60,450
466285,barcelona,Room,From 18 June,699,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/466285,Barcelona,No info,5,2,125,699
621259,barcelona,Apartment,From 3 May,1495,some bills included,Centrally located temporary rental apartment in Born neighborhood,https://www.spotahome.com/barcelona/for-rent:apartments/621259,Born,2,No info,1,No info,1495
1216839,barcelona,Room,From 2 March,950,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1216839,Barcelona,No info,3,2,100,950
597642,barcelona,Apartment,From 2 March,1620,bills included,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/597642,Barcelona,2,No info,1,60,1620
1216837,barcelona,Room,From 2 March,1100,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1216837,Barcelona,No info,3,2,100,1100
372175,barcelona,Room,From 2 March,400-515,instant booking,Sunny room in 5-bedrooom apartment Hospitalet de Llobregat de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/372175,Hospitalet de Llobregat,No info,5,2,80,457
1067314,barcelona,Studio,From 3 May,1250,bills included,Studio apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/1067314,Barcelona,No info,No info,No info,No info,1250
1090764,barcelona,Room,From 5 March,500-550,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1090764,Barcelona,No info,9,2,No info,525
971709,barcelona,Room,From 2 March,500,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/971709,Barcelona,No info,5,1,140,500
440497,barcelona,Room,From 2 March,550,bills included,Rooms for rent in a 3 bedroom apartment in Barcelona.,https://www.spotahome.com/barcelona/for-rent:rooms/440497,Barcelona,No info,4,2,110,550
994790,barcelona,Room,From 2 March,425-535,instant booking,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/994790,Barcelona,No info,7,No info,No info,480
138621,barcelona,Room,From 4 March,585,instant booking,Cosy room to rent in shared apartment in Poblenou Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/138621,Poblenou,No info,3,2,80,585
768727,barcelona,Room,From 1 July,575,instant booking,Room for rent in 6-bedroom apartment in Sants Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/768727,Sants,No info,6,1,No info,575
206778,barcelona,Room,From 2 March,465,instant booking,Furnished room 7-bedroom apartment Horta-Guinardó Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/206778,Horta-Guinardo,No info,7,1,125,465
1081073,barcelona,Room,From 2 March,450,some bills included,Room in shared apartment in L'Hospitalet de Llobregat de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/1081073,Hospitalet de Llobregat,No info,4,1,65,450
1190063,barcelona,Room,From 2 March,430-545,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1190063,Barcelona,No info,5,1,No info,487
1208348,barcelona,Room,From 2 March,600,bills included,Room for rent in a 5-Bedroom apartment in Barcelona.,https://www.spotahome.com/barcelona/for-rent:rooms/1208348,Barcelona,No info,6,2,140,600
283341,barcelona,Room,From 3 March,630,bills included,Room in 4-bedroom apartment in Eixample Dreta Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/283341,Eixample Dreta,No info,4,1,100,630
1190065,barcelona,Room,From 2 March,450-565,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1190065,Barcelona,No info,5,1,No info,507
780909,barcelona,Studio,From 6 July,1200,some bills included,1-bedroom apartment for rent in El Raval Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/780909,El Raval,No info,No info,1,No info,1200
1196249,barcelona,Apartment,From 2 June,2700-3000,bills included,1-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/1196249,Barcelona,1,No info,No info,No info,2850
1219798,barcelona,Room,From 2 March,725,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1219798,Barcelona,No info,6,2,140,725
334049,barcelona,Room,From 2 March,430-540,instant booking,Room in 5-bedroom apartment in Horta-Guinardó Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/334049,Horta-Guinardo,No info,5,1,85,485
982422,barcelona,Room,From 2 March,750,no deposit,Room for rent in 4-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/982422,Barcelona,No info,4,2,90,750
1208988,barcelona,Apartment,From 2 March,1390-2990,no deposit,2-bedroom apartment for rent in Sitges,https://www.spotahome.com/barcelona/for-rent:apartments/1208988,Sitges,2,No info,No info,No info,2190
1203084,barcelona,Studio,From 7 March,1400,spotahome plus,Studio apartment for rent in Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/1203084,Eixample,No info,No info,1,No info,1400
880351,barcelona,Apartment,From 2 March,1620,bills included,Rooms for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/880351,Barcelona,3,No info,1,70,1620
956417,barcelona,Room,From 2 March,515,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/956417,Barcelona,No info,5,1,90,515
229444,barcelona,Room,From 2 March,480-600,instant booking,Bright room in 6-bedroom apartment in Les Corts Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/229444,Les Corts,No info,6,2,107,540
1090767,barcelona,Room,From 5 March,700-750,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1090767,Barcelona,No info,9,2,No info,725
272421,barcelona,Apartment,From 3 March,1550,some bills included,2-bedroom apartment for rent in El Born Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/272421,El Born,2,No info,1,No info,1550
985691,barcelona,Apartment,From 1 April,1620,bills included,3-bedroom apartment for rent in Sants-Montjuïc Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/985691,Sants-Montjuic,3,No info,1,75,1620
219435,barcelona,Room,From 30 June,600-745,instant booking,Room in 5-bedroom apartment L'Esquerra Eixample Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/219435,Eixample Esquerra,No info,5,2,92,672
201538,barcelona,Studio,From 3 March,730,some bills included,Semi-independt studio apartment for rent in El Raval,https://www.spotahome.com/barcelona/for-rent:studios/201538,El Raval,No info,No info,1,16,730
768574,barcelona,Room,From 3 March,450,bills included,Room in shared apartment in L'Hospitalet de Llobregat de Llobregat,https://www.spotahome.com/barcelona/for-rent:rooms/768574,Hospitalet de Llobregat,No info,4,1,63,450
