Reference Number,Bedrooms,Flatmates,Bathrooms,Area
893996,3,No info,2,110
480286,No info,7,5,160
1091471,No info,6,1,100
1091473,No info,6,1,100
573720,No info,20,15,1000
609722,No info,3,1,60
466285,No info,5,2,125
621259,2,No info,1,No info
1216839,No info,3,2,100
597642,2,No info,1,60
1216837,No info,3,2,100
372175,No info,5,2,80
1067314,No info,No info,No info,No info
1090764,No info,9,2,No info
971709,No info,5,1,140
440497,No info,4,2,110
994790,No info,7,No info,No info
138621,No info,3,2,80
768727,No info,6,1,No info
206778,No info,7,1,125
1081073,No info,4,1,65
1190063,No info,5,1,No info
1208348,No info,6,2,140
283341,No info,4,1,100
1190065,No info,5,1,No info
780909,No info,No info,1,No info
1196249,1,No info,No info,No info
1219798,No info,6,2,140
334049,No info,5,1,85
982422,No info,4,2,90
1208988,2,No info,No info,No info
1203084,No info,No info,1,No info
880351,3,No info,1,70
956417,No info,5,1,90
229444,No info,6,2,107
1090767,No info,9,2,No info
272421,2,No info,1,No info
985691,3,No info,1,75
219435,No info,5,2,92
201538,No info,No info,1,16
768574,No info,4,1,63
251737,No info,2,1,50
942592,No info,5,No info,No info
955346,No info,7,1,No info
262956,2,No info,1,55
326474,No info,7,1,133
1090765,No info,9,2,No info
206774,No info,7,1,125
1217893,No info,3,1,80
1199274,No info,8,No info,No info
1081663,No info,2,1,60
962796,No info,5,No info,No info
922260,No info,2,No info,No info
218408,No info,5,1,90
768572,No info,4,1,63
1218463,No info,3,1,80
373987,No info,14,3,320
1191054,No info,4,2,110
366029,No info,6,1,No info
392365,No info,5,3,No info
973202,No info,8,3,No info
1218464,No info,3,1,80
777449,No info,4,1,80
1002483,No info,7,2,No info
132751,2,No info,1,57
1086158,No info,No info,1,40
1083399,No info,3,No info,No info
219457,No info,5,2,No info
221781,No info,5,2,130
1205899,No info,3,1,75
1195293,No info,2,1,70
762491,No info,5,2,No info
777447,No info,4,1,80
374284,No info,10,6,120
253769,No info,5,2,140
917848,No info,6,2,No info
440494,1,No info,1,65
120170,No info,No info,1,20
138804,No info,No info,1,30
1089072,No info,3,1,60
161865,No info,5,2,90
127991,No info,6,4,160
1010372,No info,5,2,114
1215438,3,No info,1,60
1217901,No info,7,2,No info
605357,No info,2,1,80
1198799,1,No info,1,No info
608691,No info,3,1,150
695509,No info,3,1,80
1014779,3,No info,1,75
1185408,No info,No info,1,30
1210089,No info,4,2,1
514185,No info,3,2,190
1000074,No info,3,2,No info
94104,No info,8,3,140
1213609,2,No info,2,110
264267,No info,4,2,130
580279,No info,3,1,No info
1090761,No info,9,2,No info
1170512,No info,2,1,90
579898,No info,4,1,No info
1169307,No info,2,1,55
384036,1,No info,1,58
1202578,No info,4,3,120
1199391,No info,4,3,150
1073866,1,No info,1,130
931859,No info,4,1,No info
1091377,No info,4,1,90
480292,No info,7,5,160
1199284,No info,3,2,85
913279,No info,1,1,50
956826,No info,4,1,87
917841,No info,4,1,No info
1074447,No info,6,2,150
930592,No info,4,2,90
953317,No info,6,2,No info
1087760,2,No info,1,55
510900,2,No info,1,59
952274,No info,5,1,No info
639145,No info,6,2,No info
777448,No info,4,1,80
827148,No info,5,3,No info
372789,No info,10,6,120
1015667,1,No info,2,No info
226090,No info,7,2,170
272058,No info,No info,1,20
602410,No info,8,3,170
961242,No info,3,1,70
642551,No info,No info,1,40
1001197,1,No info,1,33
396065,No info,5,1,85
200965,No info,No info,1,20
390781,No info,5,2,140
295382,No info,5,2,No info
433931,3,No info,2,90
955347,No info,7,1,No info
135431,No info,No info,1,54
939948,No info,3,1,No info
154962,No info,6,2,No info
818589,No info,4,2,100
1190061,No info,5,1,No info
1199283,No info,3,2,85
302695,No info,7,4,195
334048,No info,5,1,85
150727,No info,2,2,80
973266,No info,6,2,No info
1085723,No info,4,1,90
120983,No info,7,2,132
206775,No info,7,1,125
1083376,2,No info,1,65
1192655,1,No info,No info,No info
917852,No info,6,2,No info
432250,2,No info,1,70
811867,1,No info,1,42
372790,No info,10,6,120
354228,1,No info,1,40
1088065,No info,No info,1,40
945104,No info,3,No info,No info
349806,No info,3,1,90
1172537,No info,6,4,127
85661,1,No info,1,65
1202226,No info,4,1,20
118254,No info,18,5,460
289131,No info,3,1,115
939949,No info,3,1,No info
282609,2,No info,1,65
226795,No info,6,No info,128
84705,No info,4,1,75
973311,2,No info,1,65
599304,No info,2,2,70
380306,No info,19,6,320
1008449,2,No info,1,No info
1199285,No info,3,2,85
146566,1,No info,1,48
827145,No info,5,3,No info
1209088,2,No info,2,No info
950619,No info,5,4,No info
925221,No info,4,2,No info
954491,No info,3,1,No info
580289,No info,2,1,No info
1196098,1,No info,No info,No info
1206375,No info,3,2,No info
982712,No info,5,5,120
1209143,No info,No info,No info,No info
565524,No info,6,3,150
1069918,2,No info,1,55
1004068,No info,7,2,No info
1189764,3,No info,1,No info
219439,No info,5,2,92
968135,1,No info,1,No info
1175457,No info,3,2,110
1089737,No info,6,2,120
1090766,No info,9,2,No info
305648,No info,7,1,161
966492,No info,3,No info,No info
1090763,No info,9,2,No info
754857,2,No info,1,60
1091457,No info,8,3,170
1189871,No info,5,2,90
1089802,No info,5,2,No info
1082032,No info,3,3,75
768729,No info,6,1,No info
222017,No info,5,2,80
994860,No info,11,No info,No info
349721,No info,3,1,75
127989,No info,6,4,160
1022809,No info,2,1,64
865280,No info,5,3,100
219437,No info,5,2,92
1219801,No info,6,2,140
1202229,No info,4,1,20
295439,1,No info,1,92
1022863,No info,2,1,90
413705,No info,3,1,75
963601,No info,7,2,140
302892,No info,2,1,65
931850,No info,8,2,140
1075184,No info,No info,1,No info
979311,No info,1,No info,No info
1200419,No info,5,1,No info
918326,No info,No info,1,65
1018037,1,No info,1,No info
1218948,No info,3,1,83
1199277,No info,8,No info,No info
991767,No info,3,1,90
1161001,1,No info,1,65
382718,No info,5,2,1
565525,No info,6,3,150
852416,No info,5,2,100
1210205,2,No info,No info,No info
378704,No info,No info,1,25
1175456,No info,3,2,110
601294,No info,6,2,75
139041,1,No info,1,55
400767,No info,11,2,180
219454,No info,5,2,No info
123185,No info,3,2,95
201544,No info,No info,1,16
797494,No info,3,No info,No info
609721,No info,3,1,60
928825,No info,7,3,200
601296,No info,6,2,75
955285,No info,No info,1,32
1185483,No info,6,2,95
1076257,No info,5,1,No info
599075,1,No info,1,50
405200,2,No info,1,No info
401910,1,No info,1,No info
1169306,No info,2,1,55
413704,No info,3,1,75
576506,No info,3,1,No info
326478,No info,7,1,133
291434,No info,No info,1,25
951578,No info,1,1,70
431005,2,No info,1,90
928820,No info,7,3,200
754167,No info,4,1,98
954532,2,No info,1,52
222019,No info,5,2,80
619276,No info,1,1,70
935195,No info,4,2,117
357028,No info,No info,1,40
95311,1,No info,1,50
1199276,No info,8,No info,No info
602414,No info,8,3,170
602415,No info,8,3,170
1206376,No info,3,2,No info
935481,No info,3,1,55
1088833,No info,6,2,100
935581,No info,6,2,102
323628,No info,6,2,100
601281,No info,6,2,75
474559,No info,2,1,100
1088970,No info,3,1,85
782944,2,No info,1,50
1088848,No info,7,2,150
962198,No info,8,No info,No info
1189990,No info,2,1,110
951595,No info,3,No info,No info
949913,4,No info,1,85
942090,No info,3,1,No info
991524,No info,3,1,No info
215710,No info,7,1,140
1014564,No info,4,2,96
415529,No info,3,2,No info
1219797,No info,6,2,140
1186292,No info,3,3,150
935473,No info,5,1,96
782382,No info,12,1,588
422049,No info,4,1,No info
782385,No info,12,1,588
782384,No info,12,1,588
1181514,No info,3,2,15
204453,No info,4,1,72
84221,No info,4,2,110
950620,No info,5,4,No info
726622,No info,4,2,124
726620,No info,4,2,124
977405,No info,5,2,No info
726621,No info,4,2,124
1167527,1,No info,No info,No info
1068551,No info,6,2,200
580280,No info,3,1,No info
958704,No info,2,No info,No info
842931,No info,4,1,No info
95897,No info,3,2,70
229418,No info,7,2,No info
780604,No info,3,2,95
964552,No info,6,1,97
212905,3,No info,No info,100
931530,No info,2,1,74
928979,No info,2,No info,No info
1174476,3,No info,1,No info
988094,No info,5,2,No info
374285,No info,10,6,120
380303,No info,19,6,320
372751,No info,19,6,320
1199275,No info,8,No info,No info
997749,No info,3,1,50
945103,No info,3,No info,No info
852483,No info,No info,1,12
372812,No info,13,2,280
992085,No info,4,No info,No info
954492,No info,3,1,No info
373988,No info,14,3,320
927701,No info,4,No info,No info
1003975,No info,7,2,No info
305079,No info,4,1,50
90446,No info,8,2,244
768724,No info,6,1,No info
378361,No info,No info,1,25
312103,No info,No info,1,20
426453,No info,5,2,180
997371,2,No info,1,No info
378705,No info,No info,1,25
131360,1,No info,1,30
1083078,No info,5,4,120
875714,No info,4,No info,No info
122982,No info,8,2,189
760699,1,No info,2,No info
952742,No info,9,No info,136
952412,No info,5,No info,94
1202212,2,No info,1,No info
1021922,No info,3,No info,No info
774336,No info,3,1,62
1084913,2,No info,1,110
973066,No info,6,2,No info
329154,2,No info,1,45
408303,No info,4,1,190
118242,No info,3,1,85
118246,No info,3,1,85
994794,No info,7,No info,No info
928823,No info,7,3,200
928826,No info,7,3,200
782394,No info,12,1,588
782395,No info,12,1,588
1069161,No info,3,1,No info
321838,No info,9,4,150
625347,No info,3,1,82
513369,No info,9,4,200
513365,No info,9,4,200
513368,No info,9,4,200
513366,No info,9,4,200
321837,No info,9,4,150
133313,No info,8,4,200
118258,No info,18,5,460
625343,No info,3,1,82
321843,No info,9,4,150
118255,No info,18,5,460
625331,No info,3,1,82
362683,No info,4,2,95
118259,No info,18,5,460
118257,No info,18,5,460
1190804,No info,5,2,142
832018,No info,No info,1,14
832354,No info,No info,1,14
832542,No info,No info,No info,No info
947707,No info,10,4,No info
602413,No info,8,3,170
372796,No info,8,2,150
372798,No info,8,2,150
378703,No info,No info,1,15
1199280,No info,8,No info,No info
952761,No info,8,No info,126
842930,No info,4,1,No info
1021950,No info,4,2,80
364194,No info,3,1,60
1074898,No info,No info,1,25
929887,No info,7,2,No info
102166,1,No info,1,45
962439,No info,6,1,210
992684,2,No info,1,59
1088852,No info,7,2,150
1013703,No info,6,No info,No info
119716,No info,4,2,135
119715,No info,4,2,135
726579,1,No info,1,No info
144105,2,No info,1,58
1085722,No info,4,1,90
305089,No info,6,3,120
1217892,No info,3,1,80
1217891,No info,3,1,80
1088850,No info,7,2,150
633184,No info,7,No info,No info
1200496,No info,2,1,100
118634,No info,18,5,460
403080,No info,3,2,80
973057,No info,6,2,No info
443871,No info,4,1,90
916022,No info,No info,1,40
237277,No info,12,3,400
1022797,No info,4,1,No info
982350,1,No info,No info,No info
1069717,No info,4,No info,No info
942435,1,No info,1,No info
707195,No info,3,1,60
1089780,3,No info,1,65
450707,No info,4,2,110
372810,No info,13,2,280
963794,2,No info,1,No info
1185485,No info,6,2,95
592524,No info,4,No info,No info
1050435,No info,3,No info,No info
1050434,No info,3,No info,No info
607360,No info,18,5,460
633180,No info,7,No info,No info
875708,No info,4,No info,No info
113982,No info,3,1,100
372777,No info,14,3,320
272558,No info,3,No info,No info
762495,No info,5,2,No info
366911,No info,4,1,140
989023,2,No info,1,40
977835,No info,8,4,160
1091444,No info,6,2,130
1204534,3,No info,1,70
927066,No info,6,2,150
928824,No info,7,3,200
1016298,No info,8,3,192
426451,No info,5,2,180
927516,No info,3,1,110
1078793,No info,No info,1,25
357030,1,No info,1,60
577482,No info,4,2,82
1214638,No info,1,1,90
964400,No info,4,1,No info
94933,No info,4,1,80
1185487,No info,6,2,95
952804,No info,8,No info,133
952847,No info,8,No info,133
984434,No info,3,1,No info
337401,No info,No info,No info,No info
966575,No info,7,3,150
380297,No info,19,6,320
935681,No info,5,1,77
994793,No info,7,No info,No info
1013046,No info,5,No info,No info
948888,No info,2,1,No info
948889,No info,2,1,No info
929443,No info,4,1,No info
634377,No info,4,2,85
929897,No info,3,1,No info
113981,No info,3,1,100
372781,No info,14,3,320
372771,No info,14,3,320
443789,1,No info,1,37
927064,No info,6,2,150
866985,1,No info,1,No info
94427,1,No info,1,65
361032,No info,5,1,No info
961363,No info,No info,1,55
302437,No info,4,1,100
1190064,No info,5,1,No info
1210087,No info,4,2,1
640438,1,No info,1,30
272935,2,No info,1,65
1183108,No info,3,2,80
1081070,No info,4,1,65
265368,1,No info,1,100
1020050,No info,13,5,350
952277,No info,5,1,No info
