Reference Number,City,House Type,Available From,Price,Additional Info,Ad Title,Link
893996,barcelona,Apartment,From 29 April,3040,bills included,"3-bedroom apartment for rent in Sant Gervasi, Barcelona",https://www.spotahome.com/barcelona/for-rent:apartments/893996
480286,barcelona,Room,From 3 July,699,instant booking,Rooms for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/480286
1091471,barcelona,Room,From 2 March,630,instant booking,Rooms for rent in shared 6-bedroom apartment in Ciutat Vella,https://www.spotahome.com/barcelona/for-rent:rooms/1091471
1091473,barcelona,Room,From 2 March,590,instant booking,Rooms for rent in shared 6-bedroom apartment in Ciutat Vella,https://www.spotahome.com/barcelona/for-rent:rooms/1091473
573720,barcelona,Room,From 1 July,580,bills included,"Rooms for rent in 25-bedroom house in Bellaterra, Barcelona",https://www.spotahome.com/barcelona/for-rent:rooms/573720
609722,barcelona,Room,From 7 March,450,some bills included,Rooms for rent in 3-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/609722
466285,barcelona,Room,From 18 June,699,instant booking,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/466285
1202436,barcelona,Apartment,From 2 March,990,spotahome plus,Whole 2 bedrooms apartment in Badalona,https://www.spotahome.com/barcelona/for-rent:apartments/1202436
621259,barcelona,Apartment,From 3 May,1495,some bills included,Centrally located temporary rental apartment in Born neighborhood,https://www.spotahome.com/barcelona/for-rent:apartments/621259
1216839,barcelona,Room,From 2 March,950,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1216839
597642,barcelona,Apartment,From 2 March,1620,bills included,2-bedroom apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:apartments/597642
1216837,barcelona,Room,From 2 March,1100,bills included,Room in shared apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1216837
372175,barcelona,Room,From 2 March,400-515,instant booking,"Sunny room in 5-bedrooom apartment, Hospitalet de Llobregat",https://www.spotahome.com/barcelona/for-rent:rooms/372175
1067314,barcelona,Studio,From 3 May,1250,bills included,Studio apartment for rent in Barcelona,https://www.spotahome.com/barcelona/for-rent:studios/1067314
1090764,barcelona,Room,From 5 March,500-550,bills included,Room for rent in 9-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/1090764
971709,barcelona,Room,From 2 March,500,bills included,Room for rent in 5-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/971709
440497,barcelona,Room,From 2 March,550,bills included,Rooms for rent in a 3 bedroom apartment in Barcelona.,https://www.spotahome.com/barcelona/for-rent:rooms/440497
994790,barcelona,Room,From 2 March,425-535,instant booking,Room for rent in 7-bedroom apartment in Barcelona,https://www.spotahome.com/barcelona/for-rent:rooms/994790
